bankcardId,cardNumber,sortCode,bankAccountId,accountNumber,bank
"16324","5248947174876664","59-59-87","100009","95539436","Bank of England"
"16341","3558478458196575","37-03-94","100026","68521644","The Co-operative Bank"
"16346","8523917941556447","72-10-28","100031","83814691","Bank of England"
"16398","7816174771823674","35-80-56","100083","59384452","The Co-operative Bank"
"16407","7793661887274937","55-79-90","100092","13373572","The Co-operative Bank"
"16428","8315815232691387","44-44-57","100113","08233451","The Co-operative Bank"
"16436","8728348847369777","37-39-75","100121","85316794","The Royal Bank of Scotland"
"16442","9548889954539382","61-63-01","100127","73396224","Bank of England"
"16451","7951532239578177","18-44-64","100136","23662823","Clydesdale Bank"
"16456","6524266471698998","27-44-38","100141","57367321","Clydesdale Bank"
"16459","4866917813174618","26-10-03","100144","32461537","Lloyds Bank and TSB"
"16463","9433595417118627","21-79-49","100148","44778667","The Royal Bank of Scotland"
"16464","7857721515174639","16-29-47","100149","06917998","Nationwide Building Society"
"16465","2745873194515364","72-84-24","100150","38688734","Bank of England"
"16468","2136358335759159","50-32-21","100153","07259146","Barclays Bank"
"16470","7335785282921379","72-10-74","100155","21154114","Bank of England"
"16479","7421537552813816","28-16-07","100164","22689431","The Co-operative Bank"
"16481","5229647233348373","08-16-27","100166","73419665","Lloyds Bank and TSB"
"16489","5643177565265284","57-44-98","100174","94839615","Lloyds Bank and TSB"
"16499","9126779281962766","35-94-41","100184","58861946","The Co-operative Bank"
"16500","1128977189171826","51-34-71","100185","12416617","The Co-operative Bank"
"16512","1864397898688239","01-93-26","100197","52371611","Clydesdale Bank"
"16515","8136497294646293","40-20-60","100200","43964212","Citibank International"
"25384","2885421985188837","14-45-61","109069","86144376","Clydesdale Bank"
"25389","0334913748711211","35-99-18","109074","55699157","Santander UK"
"25398","7847518726552992","35-36-87","109083","02453253","Bank of Scotland"
"25399","7844687455448556","50-50-78","109084","22511444","Bank of Scotland"
"25403","4327595714462969","31-70-43","109088","99211585","Clydesdale Bank"
"25406","9395128316869895","46-63-70","109091","93251345","Lloyds Bank and TSB"
"25414","5579432351267986","43-60-90","109099","07695585","National Westminster Bank"
"25439","1152595188236369","37-10-30","109124","59161254","Bank of England"
"25450","3268347893576784","01-93-04","109135","99538652","HSBC Bank"
"25452","0566325463211927","38-21-53","109137","85136469","Bank of Scotland"
"25454","2986486858417327","43-66-03","109139","52333962","Santander UK"
"25460","4423177218159661","66-18-20","109145","92682767","The Royal Bank of Scotland"
"25461","5887158473437893","13-08-21","109146","38418153","The Royal Bank of Scotland"
"25475","9962934744533728","11-33-62","109160","91794251","Lloyds Bank and TSB"
"25487","8241433481187984","34-34-37","109172","05946945","National Westminster Bank"
"25498","7299682765777487","42-23-96","109183","44245168","Bank of England"
"25503","3166364344197459","59-24-30","109188","74976333","The Co-operative Bank"
"25516","8756771631441868","52-39-82","109201","76741966","Barclays Bank"
"25524","9768455231988568","34-88-82","109209","26795728","Bank of Scotland"
"25532","5289725223719616","16-52-91","109217","21827776","HSBC Bank"
"25533","7347896389852779","30-43-53","109218","17275694","Clydesdale Bank"
"25540","8185835971296295","77-05-73","109225","32769133","The Co-operative Bank"
"25549","7479669722133818","36-16-84","109234","04241822","National Westminster Bank"
"25553","2745697133158768","58-28-79","109238","91392353","Bank of England"
"25564","5381348774345669","26-39-54","109249","65481354","Santander UK"
"25566","7116579191114944","40-64-92","109251","33515582","Clydesdale Bank"
"25577","7183614636469677","08-20-31","109262","03248419","Bank of England"
"25585","8343975339175269","51-53-87","109270","43861551","Citibank International"
"25591","5823573742773681","01-20-30","109276","67254457","HSBC Bank"
"25595","8376896221193689","08-71-83","109280","74333743","Clydesdale Bank"
"25605","8985126456581699","34-20-35","109290","45546943","Barclays Bank"
"25612","1735958945928739","65-64-13","109297","93782614","Lloyds Bank and TSB"
"25615","5875582955237328","35-00-87","109300","29648392","Nationwide Building Society"
"25623","3726797713741783","18-94-42","109308","23337372","HSBC Bank"
"25633","8644289325745116","59-56-47","109318","01665295","HSBC Bank"
"25635","5666465614173326","01-10-35","109320","99432395","HSBC Bank"
"25643","1297243462681259","32-73-44","109328","92265552","Nationwide Building Society"
"25645","5987994552885789","18-08-71","109330","28659499","Barclays Bank"
"25651","8122265792693143","44-69-27","109336","55264287","Bank of Scotland"
"25652","1764687676995499","60-01-16","109337","94745515","HSBC Bank"
"25674","7439377762996797","61-76-33","109359","65979833","Bank of Scotland"
"25705","7353111415946264","35-48-72","109390","17815486","Bank of Scotland"
"25709","1925262749268977","40-09-91","109394","08754461","Barclays Bank"
