phoneId,phoneNumber,network
"142208","07700 767638","Vodafone"
"142241","07700 007171","Orange"
"142258","07700 218933","Three"
"142296","07700 456840","O2"
"142328","07700 039946","Three"
"142335","07700 300346","O2"
"142392","07700 560286","O2"
"142450","07700 296228","O2"
"142462","07700 288556","Three"
"142518","07700 434864","Three"
"142544","07700 071665","Vodafone"
"142549","07700 861629","Vodafone"
"142619","07700 024132","T-Mobile"
"142621","07700 574209","O2"
"142900","07700 944280","Orange"
"142967","07700 865711","Vodafone"
"142979","07700 789113","T-Mobile"
"143059","07700 722771","Vodafone"
"143097","07700 697366","O2"
"143117","07700 111511","Orange"
"143150","07700 942282","O2"
"143162","07700 423534","T-Mobile"
"143174","07700 363950","Vodafone"
"143201","07700 940570","O2"
"143206","07700 277254","T-Mobile"
"143232","07700 721277","T-Mobile"
"143268","07700 604784","Three"
"143307","07700 922051","T-Mobile"
"143376","07700 376398","O2"
"143388","07700 859508","T-Mobile"
"143408","07700 961425","T-Mobile"
"143460","07700 222517","Three"
"143484","07700 878822","O2"
"143516","07700 132741","Vodafone"
"143535","07700 872618","Vodafone"
"143554","07700 336205","Three"
"143624","07700 253018","O2"
"143674","07700 385143","Orange"
"143713","07700 514155","O2"
"143732","07700 399332","Three"
"143744","07700 835136","Vodafone"
"143799","07700 110965","O2"
"143814","07700 963626","Three"
"143838","07700 607380","O2"
"143840","07700 908810","Three"
"143845","07700 315303","Vodafone"
"143888","07700 757700","T-Mobile"
"143941","07700 782037","Three"
"144007","07700 707458","Vodafone"
"144064","07700 110169","Three"
"144184","07700 853142","T-Mobile"
"144223","07700 378782","Orange"
"144230","07700 539865","Three"
"144305","07700 568788","Three"
"144331","07700 588717","Vodafone"
"144350","07700 133780","T-Mobile"
"144374","07700 482642","Three"
"144379","07700 848081","Orange"
"144398","07700 703870","O2"
"144418","07700 323796","O2"
"144437","07700 934894","Orange"
"144470","07700 511241","Orange"
"144475","07700 667833","O2"
"144494","07700 794111","Vodafone"
"144627","07700 020844","Vodafone"
"144677","07700 428608","Three"
"144684","07700 890245","Orange"
"144709","07700 743004","Vodafone"
"144747","07700 201182","O2"
"144848","07700 490259","Vodafone"
"144850","07700 690610","Vodafone"
"144862","07700 398906","T-Mobile"
"144913","07700 596061","Orange"
"144937","07700 046994","T-Mobile"
"144963","07700 492987","O2"
"145043","07700 237017","O2"
"145050","07700 008423","T-Mobile"
"145067","07700 394466","O2"
"145125","07700 502739","Orange"
"145149","07700 631245","Orange"
"145175","07700 105203","T-Mobile"
"145182","07700 116173","Vodafone"
"145240","07700 045711","Orange"
"145252","07700 773535","O2"
"145322","07700 017862","Vodafone"
"145404","07700 344832","O2"
"145442","07700 572748","Orange"
"145454","07700 487205","O2"
"145466","07700 651913","Vodafone"
"145500","07700 673688","T-Mobile"
"145651","07700 993163","T-Mobile"
"145719","07700 146299","Orange"
"145764","07700 706737","Orange"
"145769","07700 691617","Orange"
"145776","07700 365030","T-Mobile"
"145810","07700 646539","Three"
"145822","07700 944237","Orange"
"145839","07700 871218","T-Mobile"
"145935","07700 633089","T-Mobile"
"145973","07700 012913","O2"
"145985","07700 064298","T-Mobile"
"145997","07700 268362","Three"
"146060","07700 530860","T-Mobile"
"146111","07700 913877","Orange"
"146116","07700 972534","O2"
"146130","07700 741208","O2"
"146154","07700 891664","O2"
"146231","07700 107071","O2"
"146236","07700 991660","Three"
"146248","07700 526234","Orange"
"146255","07700 916551","O2"
"146332","07700 483458","O2"
"146414","07700 908320","Vodafone"
"146421","07700 698417","O2"
"146426","07700 781371","Vodafone"
"146440","07700 922280","T-Mobile"
"146503","07700 230188","Three"
"146558","07700 219376","Three"
"146604","07700 902353","Vodafone"
"146609","07700 469039","O2"
"146623","07700 139041","T-Mobile"
"146661","07700 170106","Vodafone"
"146666","07700 955713","Three"
"146813","07700 987686","Vodafone"
"146957","07700 057200","T-Mobile"
"146964","07700 584699","O2"
"146976","07700 926038","Three"
"146990","07700 703606","O2"
"147013","07700 753659","Three"
"147169","07700 897198","Orange"
"147176","07700 826238","Orange"
"5075","07700 331984","Orange"
"5082","07700 260208","Three"
"5107","07700 202257","Orange"
"5119","07700 675572","Three"
"5138","07700 487759","O2"
"5140","07700 622017","Three"
"5152","07700 925928","Three"
"5176","07700 561389","O2"
"5188","07700 711405","Orange"
"5203","07700 501028","Three"
"5208","07700 074519","Orange"
"5210","07700 582666","T-Mobile"
"5222","07700 493191","T-Mobile"
"5234","07700 055288","Orange"
"5253","07700 626848","Vodafone"
"5289","07700 274040","T-Mobile"
"5309","07700 470201","T-Mobile"
"5316","07700 108227","O2"
"5323","07700 069159","O2"
"5328","07700 210806","O2"
"5330","07700 012660","T-Mobile"
"5342","07700 521303","O2"
"5347","07700 352531","Orange"
"5361","07700 214187","T-Mobile"
"5400","07700 007703","Vodafone"
"5412","07700 035489","T-Mobile"
"5417","07700 650389","O2"
"5424","07700 656471","Vodafone"
"5443","07700 804149","T-Mobile"
"5448","07700 108269","O2"
"5450","07700 829765","T-Mobile"
"5455","07700 667064","Three"
"5462","07700 206908","Orange"
"5474","07700 405617","T-Mobile"
"5479","07700 434329","Orange"
"5486","07700 188448","O2"
"5506","07700 437338","Vodafone"
"5532","07700 801679","Orange"
"5537","07700 977293","Three"
"5568","07700 434759","Orange"
"5570","07700 244802","T-Mobile"
"5582","07700 080879","T-Mobile"
"5594","07700 476841","Orange"
"5599","07700 344870","Orange"
"5633","07700 953437","Vodafone"
"5640","07700 407806","Vodafone"
"5645","07700 441907","Three"
"5695","07700 277595","Orange"
"5703","07700 373279","Vodafone"
"5708","07700 381814","T-Mobile"
"5710","07700 986949","Vodafone"
"5715","07700 755431","Orange"
"5722","07700 071146","O2"
"5739","07700 197548","Three"
"5741","07700 668876","O2"
"5746","07700 103215","Orange"
"5753","07700 176006","Orange"
"5760","07700 152029","O2"
"5765","07700 632378","Orange"
"5804","07700 490327","O2"
"5809","07700 521556","Three"
"5816","07700 467154","Vodafone"
"5859","07700 795829","O2"
"5861","07700 227961","Orange"
"5866","07700 413223","O2"
"5892","07700 895331","T-Mobile"
"5897","07700 866376","T-Mobile"
"5905","07700 440623","Vodafone"
"5912","07700 268924","Three"
"5924","07700 601616","O2"
"5929","07700 660134","Three"
"5936","07700 438942","T-Mobile"
"5962","07700 695798","O2"
"5967","07700 979925","T-Mobile"
"5974","07700 035535","T-Mobile"
"5981","07700 264889","Orange"
"5993","07700 658476","Vodafone"
"6047","07700 567008","Vodafone"
"6054","07700 725237","O2"
"6059","07700 278159","T-Mobile"
"6066","07700 975085","Orange"
"6073","07700 594451","Vodafone"
"6100","07700 454341","Three"
"6105","07700 207663","Orange"
"6112","07700 536875","T-Mobile"
"6124","07700 136545","O2"
"6131","07700 444163","Vodafone"
"6155","07700 371311","T-Mobile"
"6174","07700 841381","Three"
"6179","07700 561112","O2"
